"Bevolking; geslacht, leeftijd en burgerlijke staat, 1 januari"
"Geslacht: Totaal mannen en vrouwen"
"Burgerlijke staat: Totaal burgerlijke staat"
""
"Perioden";"2000";"2001";"2002";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Onderwerp";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking"
"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"79 jaar";"82568";"81731";"81540";"82440";"81687";"82729";"82464";"85936";"86551";"90754";"90462";"92785";"91045";"93536";"95038";"97796";"98552";"105507";"108025";"112104";"108983";"113836";"122998";"128982";"123142"
"80 jaar";"65152";"77447";"76855";"78926";"77791";"77213";"78310";"78299";"81534";"82307";"86444";"86266";"88458";"86838";"89524";"90838";"93547";"94315";"101095";"103556";"107048";"104107";"109062";"117820";"123425"
"81 jaar";"58349";"60712";"72274";"71566";"73968";"73022";"72612";"73890";"73920";"77030";"77885";"81790";"81759";"83851";"82687";"84960";"86458";"88990";"90011";"96472";"98199";"101553";"99205";"103871";"112392"
"82 jaar";"55452";"53853";"56185";"66275";"66618";"68844";"68139";"67988";"69072";"69304";"72370";"73160";"76845";"77066";"79222";"78007";"80199";"81765";"84177";"85299";"90976";"92671";"96045";"93817";"98501"
"83 jaar";"50540";"50774";"49264";"61517";"61049";"61458";"63775";"63215";"63186";"64282";"64614";"67548";"68373";"71888";"72196";"74135";"73038";"75261";"76736";"79209";"79679";"85237";"87043";"90166";"88141"
"84 jaar";"45133";"45517";"46008";"46909";"56151";"55878";"56318";"58571";"58109";"58385";"59515";"59818";"62428";"63404";"66863";"66996";"68877";"67924";"70095";"71520";"73221";"73972";"79459";"81047";"84026"
"85 jaar";"42443";"40383";"40872";"39960";"42423";"50832";"50727";"51239";"53444";"53182";"53485";"54625";"54749";"57344";"58415";"61422";"61520";"63234";"62552";"64712";"65612";"67067";"68184";"73432";"74753"
"86 jaar";"36676";"37569";"35850";"36466";"35589";"37980";"45412";"45668";"46113";"48249";"48158";"48498";"49462";"49598";"52119";"52849";"55740";"55927";"57367";"57004";"58402";"59420";"60952";"62083";"67001"
"87 jaar";"31224";"31973";"32783";"31482";"32106";"31389";"33531";"40263";"40657";"41182";"43135";"43174";"43241";"44243";"44635";"46615";"47276";"49993";"50089";"51687";"50597";"52155";"53242";"54850";"55720"
"88 jaar";"25201";"26773";"27545";"26917";"27341";"27907";"27305";"29334";"35158";"35809";"36237";"38109";"38106";"37998";"39302";"39335";"41137";"41633";"44093";"44320";"45191";"44428";"45934";"47195";"48435"
"89 jaar";"21373";"21306";"22595";"23614";"22898";"23261";"23886";"23587";"25253";"30397";"31041";"31481";"33209";"33168";"33150";"34079";"34131";"35700";"35967";"38478";"38007";"38948";"38273";"39832";"40938"
"90 jaar";"17619";"17731";"17635";"19195";"19789";"19185";"19562";"20092";"19966";"21423";"25833";"26586";"26733";"28347";"28474";"28309";"28973";"28989";"30351";"30638";"32206";"32086";"32966";"32440";"33695"
"91 jaar";"13928";"14309";"14400";"15175";"15779";"16298";"15712";"16195";"16653";"16628";"17857";"21731";"22057";"22368";"23750";"23729";"23499";"24282";"24104";"25338";"25188";"26672";"26462";"27282";"26863"
"92 jaar";"10729";"11011";"11381";"11284";"12161";"12601";"13222";"12722";"13088";"13630";"13574";"14583";"17602";"17994";"18401";"19329";"19346";"19105";"19691";"19731";"20335";"20250";"21495";"21289";"22013"
"93 jaar";"8179";"8290";"8546";"8718";"8900";"9529";"9885";"10630";"10049";"10433";"10849";"10908";"11669";"14016";"14442";"14490";"15404";"15294";"15081";"15653";"15450";"16003";"15816";"16840";"16687"
"94 jaar";"5951";"6189";"6238";"6595";"6655";"6785";"7228";"7692";"8164";"7787";"8078";"8485";"8408";"9048";"11011";"11121";"11254";"11740";"11736";"11758";"11869";"11729";"12162";"12099";"12880"
"95 jaar";"4349";"4393";"4545";"4700";"4959";"4998";"5028";"5396";"5767";"6190";"5934";"6184";"6398";"6383";"6952";"8308";"8285";"8494";"8705";"8855";"8685";"8822";"8584";"8935";"8912"
"96 jaar";"2935";"3122";"3055";"3175";"3389";"3569";"3611";"3697";"3892";"4248";"4541";"4412";"4516";"4651";"4697";"5064";"6014";"6000";"6138";"6362";"6349";"6229";"6288";"6107";"6385"
"97 jaar";"1943";"2026";"2131";"2221";"2235";"2417";"2535";"2599";"2609";"2785";"3059";"3283";"3156";"3228";"3378";"3311";"3559";"4156";"4159";"4374";"4352";"4356";"4203";"4363";"4233"
"98 jaar";"1322";"1316";"1400";"1379";"1494";"1520";"1663";"1792";"1772";"1805";"1915";"2186";"2238";"2095";"2198";"2292";"2290";"2438";"2826";"2833";"2922";"2895";"2885";"2795";"2929"
"99 jaar";"743";"855";"842";"934";"902";"960";"986";"1134";"1174";"1195";"1219";"1278";"1475";"1468";"1390";"1458";"1503";"1494";"1658";"1891";"1837";"1912";"1785";"1861";"1783"
"99 jaar of ouder";"1841";"1943";"2045";"2224";"2278";"2330";"2381";"2620";"2802";"2938";"3023";"3188";"3413";"3561";"3560";"3559";"3728";"3674";"3847";"4289";"4373";"4507";"4357";"4416";"4366"
"100 jaar";"496";"469";"576";"574";"600";"574";"612";"645";"747";"769";"753";"809";"811";"950";"962";"873";"939";"919";"950";"1074";"1169";"1146";"1161";"1100";"1164"
"101 jaar";"275";"292";"287";"319";"371";"368";"340";"388";"419";"470";"478";"484";"492";"503";"575";"558";"539";"562";"564";"590";"638";"705";"633";"676";"649"
"102 jaar";"155";"169";"174";"214";"192";"214";"219";"198";"217";"237";"279";"281";"289";"294";"278";"336";"349";"301";"323";"357";"341";"355";"412";"376";"370"
"103 jaar";"78";"78";"92";"96";"116";"107";"120";"128";"114";"122";"137";"170";"172";"173";"175";"153";"210";"194";"154";"185";"201";"199";"178";"217";"193"
"104 jaar";"35";"33";"35";"41";"53";"56";"58";"68";"69";"71";"74";"78";"94";"95";"92";"95";"88";"109";"102";"90";"97";"104";"102";"93";"111"
"105 jaar of ouder";"59";"47";"39";"46";"44";"51";"46";"59";"62";"74";"83";"88";"80";"78";"88";"86";"100";"95";"96";"102";"90";"86";"86";"93";"96"
"Bron: CBS"
